County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Albany,36469,36851,37359,37556,37620,37960,37923,38459,38728,38880
Big Horn,11666,11722,11758,11936,11853,11945,11941,11859,11877,11790
Campbell,46245,46550,47861,48038,48130,49258,48745,46402,46299,46341
Carbon,15848,15835,15709,15834,15872,15613,15689,15252,14879,14800
Converse,13822,13738,14028,14366,14201,14297,14094,13733,13658,13822
Crook,7118,7118,7139,7149,7234,7435,7499,7397,7445,7584
Fremont,40198,40519,41015,40912,40565,40219,40200,39818,39561,39261
Goshen,13422,13574,13637,13545,13522,13542,13306,13361,13292,13211
Hot Springs,4811,4805,4829,4831,4786,4716,4654,4686,4568,4413
Johnson,8590,8646,8641,8641,8582,8611,8484,8447,8446,8445
Laramie,92236,92576,94697,95707,96036,96969,97887,98377,98865,99500
Lincoln,18099,18013,17944,18320,18567,18747,19072,19278,19445,19830
Natrona,75470,76399,78565,81103,81377,82137,80909,79586,79175,79858
Niobrara,2491,2483,2478,2544,2488,2496,2468,2392,2400,2356
Park,28241,28449,28808,29050,28966,28928,29213,29194,29210,29194
Platte,8665,8697,8729,8710,8775,8798,8662,8541,8516,8393
Sheridan,29148,29251,29524,29733,29852,29883,29964,30147,30219,30485
Sublette,10261,10186,10476,10175,10151,10044,9982,9745,9798,9831
Sweetwater,43574,43986,45002,45157,44948,44719,44222,43464,42858,42343
Teton,21296,21414,21624,22315,22773,23047,23234,23384,23269,23464
Uinta,21089,20896,20996,20951,20822,20763,20682,20431,20292,20226
Washakie,8530,8449,8409,8413,8273,8278,8165,8010,7877,7805
Weston,7198,7142,7077,7136,7138,7208,7220,6968,6924,6927
